"","num","date","signatory","joint_signatory"
"1","1860","20190521","SACCANI GLORIA","APREA VALENTINA"
"2","1860","20190521","SACCANI GLORIA","MARIN MARCO"
"3","1860","20190521","SACCANI GLORIA","MINARDO ANTONINO"
"4","1860","20190521","SACCANI GLORIA","PALMIERI ANTONIO"
"5","1860","20190521","SACCANI GLORIA","CASCIELLO LUIGI"
"6","1860","20190521","SACCANI GLORIA","SORTE ALESSANDRO"
"7","1880","20190531","NOVELLI ROBERTO","SAVINO SANDRA"
"8","1880","20190531","NOVELLI ROBERTO","PETTARIN GUIDO GERMANO"
"9","1890","20190605","DI LAURO CARMELA","PALMISANO VALENTINA"
"10","1890","20190605","DI LAURO CARMELA","SARLI DORIANA"
"11","1890","20190605","DI LAURO CARMELA","DORI DEVIS"
"12","1890","20190605","DI LAURO CARMELA","D'ARRANDO CELESTE"
"13","1934","20190626","DEIDDA SALVATORE","BUTTI ALESSIO"
"14","1934","20190626","DEIDDA SALVATORE","CIRIELLI EDMONDO"
"15","1934","20190626","DEIDDA SALVATORE","DONZELLI GIOVANNI"
"16","1934","20190626","DEIDDA SALVATORE","ROTELLI MAURO"
"17","1934","20190626","DEIDDA SALVATORE","ZUCCONI RICCARDO"
"18","1934","20190626","DEIDDA SALVATORE","VARCHI MARIA CAROLINA"
"19","1934","20190626","DEIDDA SALVATORE","SILVESTRONI MARCO"
"20","1934","20190626","DEIDDA SALVATORE","MOLLICONE FEDERICO"
"21","1934","20190626","DEIDDA SALVATORE","DE CARLO LUCA"
"22","1934","20190626","DEIDDA SALVATORE","GALANTINO DAVIDE"
"23","1934","20190626","DEIDDA SALVATORE","CARETTA MARIA CRISTINA"
"24","1934","20190626","DEIDDA SALVATORE","MASCHIO CIRO"
"25","1934","20190626","DEIDDA SALVATORE","CIABURRO MONICA"
"26","1934","20190626","DEIDDA SALVATORE","PRISCO EMANUELE"
"27","1892","20190605","INVIDIA NICCOLO'","BERTI FRANCESCO"
"28","1892","20190605","INVIDIA NICCOLO'","CIPRINI TIZIANA"
"29","1892","20190605","INVIDIA NICCOLO'","MASI ANGELA"
"30","1892","20190605","INVIDIA NICCOLO'","SCANU LUCIA"
"31","1892","20190605","INVIDIA NICCOLO'","SIRAGUSA ELISA"
"32","1892","20190605","INVIDIA NICCOLO'","TRIPIEDI DAVIDE"
"33","1892","20190605","INVIDIA NICCOLO'","VACCA GIANLUCA"
"34","1892","20190605","INVIDIA NICCOLO'","GIARRIZZO ANDREA"
"35","1892","20190605","INVIDIA NICCOLO'","PAXIA MARIA LAURA"
"36","1892","20190605","INVIDIA NICCOLO'","RIZZONE MARCO"
"37","1892","20190605","INVIDIA NICCOLO'","CUBEDDU SEBASTIANO"
"38","1892","20190605","INVIDIA NICCOLO'","CILLIS LUCIANO"
"39","1892","20190605","INVIDIA NICCOLO'","BERARDINI FABIO"
"40","1892","20190605","INVIDIA NICCOLO'","SUT LUCA"
"41","1198","20180926","BAZZARO ALEX","PETTAZZI LINO"
"42","1198","20180926","BAZZARO ALEX","FANTUZ MARICA"
"43","1198","20180926","BAZZARO ALEX","TIRAMANI PAOLO"
"44","1198","20180926","BAZZARO ALEX","RIBOLLA ALBERTO"
"45","1198","20180926","BAZZARO ALEX","GOBBATO CLAUDIA"
"46","1198","20180926","BAZZARO ALEX","VALLOTTO SERGIO"
"47","1198","20180926","BAZZARO ALEX","COLMELLERE ANGELA"
"48","1198","20180926","BAZZARO ALEX","BUBISUTTI AURELIA"
"49","1203","20180927","RACCHELLA GERMANO","VINCI GIANLUCA"
"50","1203","20180927","RACCHELLA GERMANO","BIANCHI MATTEO LUIGI"
"51","1203","20180927","RACCHELLA GERMANO","BILLI SIMONE"
"52","1203","20180927","RACCHELLA GERMANO","BINELLI DIEGO"
"53","1203","20180927","RACCHELLA GERMANO","BOLDI ROSSANA LIDIA"
"54","1203","20180927","RACCHELLA GERMANO","BORDONALI SIMONA"
"55","1203","20180927","RACCHELLA GERMANO","CAPITANIO MASSIMILIANO"
"56","1203","20180927","RACCHELLA GERMANO","COLLA JARI"
"57","1203","20180927","RACCHELLA GERMANO","CRIPPA ANDREA"
"58","1203","20180927","RACCHELLA GERMANO","DE ANGELIS SARA"
"59","1203","20180927","RACCHELLA GERMANO","DE MARTINI GUIDO"
"60","1203","20180927","RACCHELLA GERMANO","FERRARI ROBERTO PAOLO"
"61","1203","20180927","RACCHELLA GERMANO","FORMENTINI PAOLO"
"62","1203","20180927","RACCHELLA GERMANO","FURGIUELE DOMENICO"
"63","1203","20180927","RACCHELLA GERMANO","GASTALDI FLAVIO"
"64","1203","20180927","RACCHELLA GERMANO","GRIMOLDI PAOLO"
"65","1203","20180927","RACCHELLA GERMANO","INVERNIZZI CRISTIAN"
"66","1203","20180927","RACCHELLA GERMANO","LAZZARINI ARIANNA"
"67","1203","20180927","RACCHELLA GERMANO","LOCATELLI ALESSANDRA"
"68","1203","20180927","RACCHELLA GERMANO","LUCCHINI ELENA"
"69","1203","20180927","RACCHELLA GERMANO","MAGGIONI MARCO"
"70","1203","20180927","RACCHELLA GERMANO","MOLINARI RICCARDO"
"71","1203","20180927","RACCHELLA GERMANO","MORELLI ALESSANDRO"
"72","1203","20180927","RACCHELLA GERMANO","PAGANO ALESSANDRO SARO ALFONSO"
"73","1203","20180927","RACCHELLA GERMANO","PAOLINI LUCA RODOLFO"
"74","1203","20180927","RACCHELLA GERMANO","PICCOLO TIZIANA"
"75","1203","20180927","RACCHELLA GERMANO","SASSO ROSSANO"
"76","1203","20180927","RACCHELLA GERMANO","STEFANI ALBERTO"
"77","1203","20180927","RACCHELLA GERMANO","TARANTINO LEONARDO"
"78","1203","20180927","RACCHELLA GERMANO","TONELLI GIANNI"
"79","1203","20180927","RACCHELLA GERMANO","LOLINI MARIO"
"80","1203","20180927","RACCHELLA GERMANO","ZIELLO EDOARDO"
"81","753","20180620","BARONI MASSIMO ENRICO","DIENI FEDERICA"
"82","753","20180620","BARONI MASSIMO ENRICO","FONTANA ILARIA"
"83","753","20180620","BARONI MASSIMO ENRICO","FRUSONE LUCA"
"84","753","20180620","BARONI MASSIMO ENRICO","LIUZZI MIRELLA"
"85","753","20180620","BARONI MASSIMO ENRICO","LOREFICE MARIALUCIA"
"86","753","20180620","BARONI MASSIMO ENRICO","LORENZONI GABRIELE"
"87","753","20180620","BARONI MASSIMO ENRICO","MAMMI' STEFANIA"
"88","753","20180620","BARONI MASSIMO ENRICO","MISITI CARMELO MASSIMO"
"89","753","20180620","BARONI MASSIMO ENRICO","NAPPI SILVANA"
"90","753","20180620","BARONI MASSIMO ENRICO","NESCI DALILA"
"91","753","20180620","BARONI MASSIMO ENRICO","PENNA LEONARDO SALVATORE"
"92","753","20180620","BARONI MASSIMO ENRICO","SARLI DORIANA"
"93","753","20180620","BARONI MASSIMO ENRICO","TERZONI PATRIZIA"
"94","753","20180620","BARONI MASSIMO ENRICO","TROIANO FRANCESCA"
"95","753","20180620","BARONI MASSIMO ENRICO","VOLPI LEDA"
"96","753","20180620","BARONI MASSIMO ENRICO","ZOLEZZI ALBERTO"
"97","753","20180620","BARONI MASSIMO ENRICO","LAPIA MARA"
"98","753","20180620","BARONI MASSIMO ENRICO","TRIZZINO GIORGIO"
"99","753","20180620","BARONI MASSIMO ENRICO","MENGA ROSA"
"100","753","20180620","BARONI MASSIMO ENRICO","SPORTIELLO GILDA"
"101","753","20180620","BARONI MASSIMO ENRICO","SALAFIA ANGELA"
"102","753","20180620","BARONI MASSIMO ENRICO","D'ARRANDO CELESTE"
"103","753","20180620","BARONI MASSIMO ENRICO","SAPIA FRANCESCO"
"104","753","20180620","BARONI MASSIMO ENRICO","PROVENZA NICOLA"
"105","755","20180620","CARFAGNA MARIA ROSARIA","FASANO VINCENZO"
"106","755","20180620","CARFAGNA MARIA ROSARIA","CRISTINA MIRELLA"
"107","755","20180620","CARFAGNA MARIA ROSARIA","BERGAMINI DEBORAH"
"108","755","20180620","CARFAGNA MARIA ROSARIA","BIANCOFIORE MICHAELA"
"109","755","20180620","CARFAGNA MARIA ROSARIA","FATUZZO CARLO"
"110","755","20180620","CARFAGNA MARIA ROSARIA","GAGLIARDI MANUELA"
"111","755","20180620","CARFAGNA MARIA ROSARIA","GELMINI MARIASTELLA"
"112","755","20180620","CARFAGNA MARIA ROSARIA","GERMANA' ANTONINO SALVATORE"
"113","755","20180620","CARFAGNA MARIA ROSARIA","GIACOMONI SESTINO"
"114","755","20180620","CARFAGNA MARIA ROSARIA","MANDELLI ANDREA"
"115","755","20180620","CARFAGNA MARIA ROSARIA","MARIN MARCO"
"116","755","20180620","CARFAGNA MARIA ROSARIA","MAZZETTI ERICA"
"117","755","20180620","CARFAGNA MARIA ROSARIA","MILANATO LORENA"
"118","755","20180620","CARFAGNA MARIA ROSARIA","NISSOLI ANGELA"
"119","755","20180620","CARFAGNA MARIA ROSARIA","NOVELLI ROBERTO"
"120","755","20180620","CARFAGNA MARIA ROSARIA","OCCHIUTO ROBERTO"
