"","num","date","signatory","joint_signatory"
"1","2084","20190905","ROSSINI ROBERTO","CATALDI ROBERTO"
"2","2084","20190905","ROSSINI ROBERTO","GIULIODORI PAOLO"
"3","2089","20190910","CIABURRO MONICA","MANTOVANI LUCREZIA MARIA BENEDETTA"
"4","2089","20190910","CIABURRO MONICA","VARCHI MARIA CAROLINA"
"5","2089","20190910","CIABURRO MONICA","DEIDDA SALVATORE"
"6","2089","20190910","CIABURRO MONICA","DE CARLO LUCA"
"7","2089","20190910","CIABURRO MONICA","CARETTA MARIA CRISTINA"
"8","2092","20190913","MELICCHIO ALESSANDRO","BOLOGNA FABIOLA"
"9","2092","20190913","MELICCHIO ALESSANDRO","AIELLO DAVIDE"
"10","2092","20190913","MELICCHIO ALESSANDRO","BELLA MARCO"
"11","2092","20190913","MELICCHIO ALESSANDRO","CATALDI ROBERTO"
"12","2092","20190913","MELICCHIO ALESSANDRO","CORNELI VALENTINA"
"13","2092","20190913","MELICCHIO ALESSANDRO","DE GIROLAMO CARLO UGO"
"14","2092","20190913","MELICCHIO ALESSANDRO","FARO MARIALUISA"
"15","2092","20190913","MELICCHIO ALESSANDRO","GALLO LUIGI"
"16","2092","20190913","MELICCHIO ALESSANDRO","LATTANZIO PAOLO"
"17","2092","20190913","MELICCHIO ALESSANDRO","MARIANI FELICE"
"18","2092","20190913","MELICCHIO ALESSANDRO","NAPPI SILVANA"
"19","2092","20190913","MELICCHIO ALESSANDRO","NITTI MICHELE"
"20","2092","20190913","MELICCHIO ALESSANDRO","PARENTELA PAOLO"
"21","2092","20190913","MELICCHIO ALESSANDRO","VILLANI VIRGINIA"
"22","2092","20190913","MELICCHIO ALESSANDRO","VOLPI LEDA"
"23","2092","20190913","MELICCHIO ALESSANDRO","CASA VITTORIA"
"24","2092","20190913","MELICCHIO ALESSANDRO","GALIZIA FRANCESCA"
"25","2092","20190913","MELICCHIO ALESSANDRO","FRATE FLORA"
"26","2092","20190913","MELICCHIO ALESSANDRO","TUZI MANUEL"
