"","name","partito","s_office","e_office"
"1","ACQUAROLI FRANCESCO","FRATELLI D'ITALIA (27.03.2018-22.10.2020)","20180327","20201022"
"2","ACUNZO NICOLA","MOVIMENTO 5 STELLE (27.03.2018-20.05.2020)","20180327","20200520"
"3","ACUNZO NICOLA","MISTO (20.05.2020)","20200520",NA
"4","ADELIZZI COSIMO","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"5","AIELLO DAVIDE","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"6","AIELLO PIERA","MOVIMENTO 5 STELLE (27.03.2018-02.09.2020)","20180327","20200902"
"7","AIELLO PIERA","MISTO (02.09.2020)","20200902",NA
"8","ALAIMO ROBERTA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"9","ALBANO LUCIA","FRATELLI D'ITALIA (22.10.2020)","20201022",NA
"10","ALEMANNO MARIA SOAVE","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"11","AMITRANO ALESSANDRO","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"12","ANDREUZZA GIORGIA","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"13","ANGELUCCI ANTONIO","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"14","ANGIOLA NUNZIO","MOVIMENTO 5 STELLE (27.03.2018-03.01.2020)","20180327","20200103"
"15","ANGIOLA NUNZIO","MISTO (03.01.2020)","20200103",NA
"16","ANNIBALI LUCIA","PARTITO DEMOCRATICO (27.03.2018-19.09.2019)","20180327","20190919"
"17","ANNIBALI LUCIA","ITALIA VIVA (19.09.2019)","20190919",NA
"18","ANZALDI MICHELE","PARTITO DEMOCRATICO (27.03.2018-19.09.2019)","20180327","20190919"
"19","ANZALDI MICHELE","ITALIA VIVA (19.09.2019)","20190919",NA
"20","APREA VALENTINA","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"21","APRILE NADIA","MOVIMENTO 5 STELLE (27.03.2018-21.01.2020)","20180327","20200121"
"22","APRILE NADIA","MISTO (21.01.2020)","20200121",NA
"23","ARESTA GIOVANNI LUCA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"24","ASCANI ANNA","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"25","ASCARI STEFANIA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"26","AVOSSA EVA","PARTITO DEMOCRATICO (11.03.2021)","20210311",NA
"27","AZZOLINA LUCIA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"28","BADOLE MIRCO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"29","BAGNASCO ROBERTO","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"30","BALDELLI SIMONE","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"31","BALDINI MARIA TERESA","FRATELLI D'ITALIA (28.06.2019-06.08.2020)","20190628","20200806"
"32","BALDINI MARIA TERESA","CORAGGIO ITALIA (27.05.2021-23.12.2021)","20210527","20211223"
"33","BALDINI MARIA TERESA","MISTO (06.08.2020-18.08.2020)","20200806","20200818"
"34","BALDINI MARIA TERESA","FORZA ITALIA - BERLUSCONI PRESIDENTE (18.08.2020-27.05.2021)","20200818","20210527"
"35","BALDINI MARIA TERESA","ITALIA VIVA (23.12.2021)","20211223",NA
"36","BALDINO VITTORIA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"37","BARATTO RAFFAELE","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018-27.05.2021)","20180327","20210527"
"38","BARATTO RAFFAELE","CORAGGIO ITALIA (27.05.2021)","20210527",NA
"39","BARBUTO ELISABETTA MARIA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"40","BARELLI PAOLO","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"41","BARONI ANNA LISA","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"42","BARONI MASSIMO ENRICO","MOVIMENTO 5 STELLE (27.03.2018-19.02.2021)","20180327","20210219"
"43","BARONI MASSIMO ENRICO","MISTO (19.02.2021)","20210219",NA
"44","BARTOLOZZI GIUSI","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018-27.07.2021)","20180327","20210727"
"45","BARTOLOZZI GIUSI","MISTO (27.07.2021)","20210727",NA
"46","BARZOTTI VALENTINA","MOVIMENTO 5 STELLE (11.09.2018)","20180911",NA
"47","BASINI GIUSEPPE","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"48","BATTELLI SERGIO","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"49","BATTILOCCHIO ALESSANDRO","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"50","BAZOLI ALFREDO","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"51","BAZZARO ALEX","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"52","BELLA MARCO","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"53","BELLACHIOMA GIUSEPPE ERCOLE","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"54","BELLUCCI MARIA TERESA","FRATELLI D'ITALIA (27.03.2018)","20180327",NA
"55","BELOTTI DANIELE","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"56","BENAMATI GIANLUCA","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"57","BENDINELLI DAVIDE","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018-20.12.2019)","20180327","20191220"
"58","BENDINELLI DAVIDE","ITALIA VIVA (20.12.2019)","20191220",NA
"59","BENEDETTI SILVIA","MISTO (27.03.2018)","20180327",NA
"60","BENIGNI STEFANO","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018-09.09.2019)","20180327","20190909"
"61","BENIGNI STEFANO","MISTO (09.09.2019)","20190909",NA
"62","BENVENUTO ALESSANDRO MANUEL","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"63","BERARDINI FABIO","MOVIMENTO 5 STELLE (27.03.2018-10.12.2020)","20180327","20201210"
"64","BERARDINI FABIO","MISTO (10.12.2020-27.05.2021)","20201210","20210527"
"65","BERARDINI FABIO","CORAGGIO ITALIA (27.05.2021)","20210527",NA
"66","BERGAMINI DEBORAH","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"67","BERLINGHIERI MARINA","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"68","BERSANI PIER LUIGI","MISTO (27.03.2018-10.04.2018)","20180327","20180410"
"69","BERSANI PIER LUIGI","LIBERI E UGUALI (10.04.2018)","20180410",NA
"70","BERTI FRANCESCO","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"71","BIANCHI MATTEO LUIGI","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"72","BIANCOFIORE MICHAELA","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018-27.05.2021)","20180327","20210527"
"73","BIANCOFIORE MICHAELA","CORAGGIO ITALIA (27.05.2021)","20210527",NA
"74","BIGNAMI GALEAZZO","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018-28.08.2019)","20180327","20190828"
"75","BIGNAMI GALEAZZO","FRATELLI D'ITALIA (29.08.2019)","20190829",NA
"76","BILLI SIMONE","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"77","BILOTTI ANNA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"78","BINELLI DIEGO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"79","BISA INGRID","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"80","BITONCI MASSIMO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"81","BOCCIA FRANCESCO","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"82","BOLDI ROSSANA LIDIA","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"83","BOLDRINI LAURA","MISTO (27.03.2018-10.04.2018)","20180327","20180410"
"84","BOLDRINI LAURA","LIBERI E UGUALI (10.04.2018-24.09.2019)","20180410","20190924"
"85","BOLDRINI LAURA","PARTITO DEMOCRATICO (24.09.2019)","20190924",NA
"86","BOLOGNA FABIOLA","MOVIMENTO 5 STELLE (27.03.2018-24.04.2020)","20180327","20200424"
"87","BOLOGNA FABIOLA","MISTO (24.04.2020-27.05.2021)","20200424","20210527"
"88","BOLOGNA FABIOLA","CORAGGIO ITALIA (27.05.2021)","20210527",NA
"89","BONAFEDE ALFONSO","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
